,Unnamed: 0,动词,名词
278,278,伐,稿子
279,279,做成,嫂子
280,280,打乱,婚礼
281,281,锁起来,0
282,282,认错,眼
283,283,分清,票子
284,284,叫到,0
285,285,劝说,所得税
286,286,受,0
287,287,伤,0
288,288,浇,烟酒
289,289,梳理,0
290,290,打扮,0
291,291,荒,封条
292,292,吞咽,大衣
294,294,臭骂,画笔
296,296,续,铁
297,297,送走,住房
298,298,甩掉,泪
299,299,悠,0
300,300,干,火
301,301,眨,营业时间
302,302,去,奖章
303,303,靠,0
304,304,呼,戒指
305,305,休息,0
306,306,挺直,0
307,307,瞎,0
308,308,占领,0
309,309,夺回,货
310,310,养,奖金
311,311,寄养,猫
312,312,断,车门
313,313,推在,0
315,315,救出,脚
317,317,离开,香炉
318,318,撇,房间
319,319,检阅,0
320,320,翻译,树影
321,321,揭开,0
322,322,催,0
323,323,运送,0
324,324,剩,嘴唇
325,325,抽紧,花枝
326,326,谈,0
328,328,吓跑,船身
329,329,处置,0
330,330,盛满,缆
331,331,没收,0
332,332,罩,嫂嫂
334,334,申请,文章
335,335,抹掉,水面
336,336,摸,0
337,337,形成,0
338,338,缴,好消息
339,339,加上,房门
340,340,腾,0
341,341,害,0
342,342,跌,0
343,343,凝固,0
344,344,处理,0
345,345,瞥,0
346,346,毁坏,天
347,347,阻断,0
349,349,睡觉,先生
350,350,扒,感情
351,351,轰,0
352,352,舍,琴
353,353,归置,杯子
354,354,寄存,剧本
355,355,择,眉头
356,356,疏忽,0
357,357,惊呆,0
358,358,撤,梦想
359,359,掩埋,烟头
360,360,想开,0
361,361,来,拳头
362,362,筛,伙计
363,363,扛,鼻涕
364,364,拐,电灯泡
366,366,搀扶,草案
367,367,招,尸首
368,368,解雇,0
369,369,松,0
370,370,亵渎,0
371,371,排,旅长
372,372,制成,嘴
373,373,挪动,火山
374,374,住,日影
375,375,沾,0
376,376,踩死,手帕
377,377,折起来,田
378,378,考虑,笑容
379,379,摇荡,0
380,380,浸透,0
381,381,生,0
382,382,扔下,长衫
383,383,吓了一跳,0
384,384,堆满,0
385,385,抛,店
386,386,抢劫,0
387,387,弄垮,教授
389,389,领,文学
390,390,引入,骗子
391,391,搂抱,公司
392,392,刷得,棉花
393,393,嘬,账
394,394,树,工厂
395,395,增加,人心
396,396,抛向,群众
397,397,敞开,干部
398,398,来到,0
399,399,带坏,0
400,400,处死,本钱
401,401,修成,0
402,402,击穿,镜头
403,403,封住,话筒
404,404,破解,0
405,405,惊吓,0
406,406,瞄准,0
407,407,装进去,0
408,408,捅破,0
409,409,铐,0
410,410,攒,0
411,411,放上去,纸条
412,412,食,机会
413,413,涂,0
414,414,表示,0
415,415,撅,0
417,417,丢失,0
418,418,绊,0
419,419,扶住,茶壶
420,420,用尽,0
421,421,调,0
422,422,摊,0
423,423,回避,0
424,424,攻破,0
